customer_id,credit_lines_outstanding,loan_amt_outstanding,total_debt_outstanding,income,years_employed,fico_score,default
8153374,0,5221.545193,3915.471226,78039.38546,5,605,0
7442532,5,1958.928726,8228.75252,26648.43525,2,572,1
2256073,0,3363.009259,2027.83085,65866.71246,4,602,0
4885975,0,4766.648001,2501.730397,74356.88347,5,612,0
4700614,1,1345.827718,1768.826187,23448.32631,6,631,0
4661159,0,5376.886873,7189.121298,85529.84591,2,697,0
8291909,1,3634.057471,7085.980095,68691.57707,6,722,0
4616950,4,3302.172238,13067.57021,50352.16821,3,545,1
3395789,0,2938.325123,1918.404472,53497.37754,4,676,0
4045948,0,5396.366774,5298.824524,92349.55399,2,447,0
1946105,5,4224.542337,18858.28272,76975.03318,7,640,1
7026356,1,5470.06369,10357.63606,98688.26823,5,636,0
3555143,1,3440.842174,7009.017521,49413.51814,3,527,0
1852525,1,4799.604414,7321.171391,81534.51708,5,638,0
2436643,0,2909.447925,2713.013317,62340.39145,2,616,0
1089094,0,3281.568882,6447.096241,63042.43756,3,644,0
2618670,0,5579.715349,1755.76098,83490.03355,3,606,0
4841253,1,4407.471929,8331.603288,54527.70813,3,727,0
4522930,5,2761.049506,16620.80342,52428.52206,4,627,1
2999053,0,4461.847138,6965.056642,98149.74308,6,581,0
2723215,2,3477.433899,8389.081942,70760.64317,8,667,0
1467134,4,2608.798997,11177.43742,39682.19883,1,480,1
4754857,1,5138.918794,11566.29898,101268.5826,5,677,0
4039149,2,4199.164596,9607.021343,62160.28338,6,726,0
8521446,0,3334.584216,2992.09521,68928.27308,5,596,0
1279600,1,3079.55134,4606.951938,54592.43358,7,605,0
7269476,0,3040.960977,4404.918315,47012.43037,2,636,0
2289318,0,2212.887987,610.7649879,42642.15937,4,642,0
6552907,0,3285.841537,4459.926443,66382.17214,4,596,0
8753437,0,3258.508608,3982.097842,72023.81125,2,667,0
4320547,1,3438.165737,6899.967887,95771.69288,7,580,0
5451200,2,4929.427201,10002.59086,65532.66639,4,697,0
6325220,5,3507.902474,19990.89793,69486.70311,4,542,1
6037431,3,5527.944216,14795.18286,78210.76357,4,668,0
3258404,1,3044.751919,4972.39513,53714.70992,6,787,0
4529904,0,2979.485594,5964.402963,60680.19975,4,673,0
4756862,0,1598.115491,2106.924814,26071.77675,4,609,0
2671353,5,5691.710738,25802.3152,85075.45006,4,541,1
8919468,0,6122.534809,3308.52031,86757.74902,4,560,0
7240623,5,4296.127286,22541.026,74379.07589,2,607,1
7096072,1,5713.466421,9572.714973,89956.31788,5,631,0
6645305,2,3196.367779,12285.43342,92085.61348,7,746,0
8551890,0,5044.106619,5378.621481,91383.46571,4,530,0
7602707,0,3712.750866,3748.47485,58773.4523,6,615,0
4951943,5,3308.441678,18042.03529,60513.88204,4,552,1
6288882,2,3056.005959,8496.600307,76750.28031,8,606,0
4382360,3,4806.864262,14702.98825,87593.08538,5,599,0
4144487,0,4392.816559,5063.187358,55462.63115,4,679,0
1629547,0,3019.475375,446.3892355,44638.92355,3,603,0
2948051,0,4470.490457,2387.751259,66307.55718,4,764,0
1237675,1,4357.308441,10823.44917,89452.65138,6,736,0
7125694,0,2904.436456,3806.284655,45019.50894,4,751,0
1113748,1,1888.053856,4179.967159,36004.06641,5,610,0
2512418,4,3167.933042,11269.54487,53739.73516,7,663,0
7678486,0,2647.608576,3633.448864,69427.6089,6,737,0
5161636,0,2264.648869,2138.377198,30248.31246,3,629,0
7365670,3,2673.54163,7233.006733,46791.58228,7,689,0
6381573,5,3848.509319,18052.44355,60919.57161,4,587,1
3238472,5,4604.738825,24614.66577,78697.94413,5,692,1
3252127,0,3372.376095,3405.489888,55026.27562,3,706,0
8571897,1,4689.997284,7454.473944,89940.20848,8,515,0
1444612,0,2813.780246,1909.867606,47804.87496,6,702,0
6562873,0,3369.099325,3477.305329,51756.93553,3,638,0
6714332,1,3179.923385,6909.539007,77842.18685,6,612,0
3087069,0,4294.47539,7237.49265,70514.35871,3,583,0
8010926,0,6148.494512,843.3674406,84336.74406,5,720,0
6551322,0,5204.224599,5528.201971,106426.3955,4,607,0
3672265,1,5423.942645,8524.640887,99150.69003,7,750,0
3068840,0,5259.363393,885.0746882,88507.46882,5,662,0
6031818,5,3280.272295,18732.54767,67417.22083,3,563,1
6410292,0,3691.985766,5641.919221,75507.14829,4,611,0
2195286,1,2800.316359,4540.64595,43040.16541,3,754,0
2483066,1,1645.741726,3344.06227,37660.8669,7,663,0
8380627,1,5137.219376,8042.606207,79741.33151,6,709,0
8926016,5,4455.723618,21759.58907,68241.17866,4,576,1
1729821,5,4611.226168,25172.40934,87306.38652,5,611,1
8935419,2,2228.164899,7430.4677,61714.77493,8,669,0
7713931,5,4477.721762,25525.87565,63190.6675,3,612,1
2593152,1,6114.066639,10454.60074,90441.83333,5,720,0
4265770,2,3682.300399,13665.47622,81215.98749,5,589,0
6694674,1,2305.03445,4681.362495,54885.43693,7,578,0
2878530,0,3270.453879,570.8356554,57083.56554,5,652,0
1760607,0,3157.845091,2359.788951,49538.62055,4,687,0
1083392,0,6547.709898,4572.87505,104214.0756,5,633,0
2548560,5,5227.129372,30897.38167,83840.58872,4,569,1
7517038,2,2042.535985,5779.605547,36313.79378,6,657,0
3279204,1,3509.853269,9434.868921,75551.558,4,754,0
7787477,0,4911.323807,6452.905939,72112.66078,4,642,0
3467139,0,1875.113047,2365.397903,29565.60654,2,708,0
8989969,5,4118.251907,19388.55381,72001.48849,3,627,1
4618641,0,7042.304481,4137.426549,85413.0674,5,745,0
3879675,3,2722.706729,8732.939038,48632.57113,7,685,0
2338819,0,4945.33944,2570.333551,85901.95454,3,679,0
8127530,0,3003.766079,4053.095356,39932.25513,3,697,0
2559477,4,3906.630457,16227.27569,56732.91535,1,603,1
5699479,5,3840.418321,14994.26544,53794.32662,1,555,1
4675595,2,3670.92571,9596.22646,75718.62338,8,687,0
2061413,0,2038.609652,2984.174167,42878.6052,6,625,0
7431458,0,2914.249997,917.3111082,64879.74563,5,581,0
1638898,1,3707.461716,4634.160556,57597.45492,5,633,0
8711328,5,4926.741674,18943.13978,72136.00622,4,622,1
3866572,1,4408.32239,6702.412553,79268.2046,5,610,0
6610306,5,5390.873161,30441.76235,91844.02459,2,584,1
3291949,3,6596.195494,16086.9749,91952.22747,4,628,0
5500676,0,4539.190184,6126.144466,86518.54294,4,724,0
6789710,1,2313.344837,3211.670516,38124.95405,5,620,0
5006585,1,3560.648035,5273.74225,60497.19791,6,563,0
7586510,0,6679.103143,3956.076166,86598.94627,6,678,0
3578717,0,6064.123004,4651.182782,83316.08541,4,602,0
7772698,1,3814.162931,6141.232793,67450.1106,5,672,0
7362864,2,2937.878102,5093.558864,57894.37634,8,724,0
4085765,0,5227.304902,2691.896355,69170.02023,4,626,0
3700938,0,4287.42859,7503.36695,77957.79285,4,749,0
2691552,5,3772.763476,14149.06605,59584.26177,5,582,1
4418770,2,4629.349219,9963.382976,83891.64859,8,693,0
4240531,1,5466.033694,9941.901446,86554.77009,6,632,0
2463684,1,4299.363828,4845.19607,51631.08241,6,655,0
7987506,2,3941.702572,9223.90984,67277.84361,6,693,0
